sport,event,year,athlete_id,country_id,medal
Track and Field,Women's 20 kilometres Walk,2016,7728,131,
Track and Field,Men's Pole Vault,2016,7740,34,
Gymnastics,Gymnastics Women's Individual All-Around,2016,7769,26,
Gymnastics,Gymnastics Women's Team All-Around,2016,7769,26,
Gymnastics,Gymnastics Women's Floor Exercise,2016,7769,26,
Gymnastics,Gymnastics Women's Uneven Bars,2016,7769,26,
Gymnastics,Gymnastics Women's Balance Beam,2016,7769,26,
Track and Field,Women's 400 metres Hurdles,2016,7775,147,
Swimming,Swimming Women's 200 metres Butterfly,2016,7810,8,
Swimming,Swimming Women's 200 metres Individual Medley,2016,7810,8,
Swimming,Swimming Women's 400 metres Individual Medley,2016,7810,8,
Track and Field,Men's 4 x 100 metres Relay,2016,7952,189,
Track and Field,Women's Discus Throw,2016,7989,93,
Track and Field,Men's 400 metres Hurdles,2016,8036,90,
Swimming,Swimming Women's 200 metres Freestyle,2016,8051,11,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,8051,11,Silver
Gymnastics,Gymnastics Men's Individual All-Around,2016,8114,26,
Gymnastics,Gymnastics Men's Team All-Around,2016,8114,26,
Gymnastics,Gymnastics Men's Floor Exercise,2016,8114,26,
Gymnastics,Gymnastics Men's Parallel Bars,2016,8114,26,
Gymnastics,Gymnastics Men's Horizontal Bar,2016,8114,26,
Gymnastics,Gymnastics Men's Rings,2016,8114,26,
Gymnastics,Gymnastics Men's Pommelled Horse,2016,8114,26,
Track and Field,"Women's 1,500 metres",2016,8128,195,Bronze
Track and Field,Men's 20 kilometres Walk,2016,8152,77,
Track and Field,Men's High Jump,2016,8198,14,
Track and Field,Men's High Jump,2016,8204,149,Silver
Track and Field,Men's 110 metres Hurdles,2016,8417,67,Bronze
Track and Field,Women's 200 metres,2016,8475,69,
Track and Field,Men's Marathon,2016,8526,123,
Swimming,Swimming Men's 50 metres Freestyle,2016,8606,123,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016,8661,167,
Swimming,Swimming Men's 200 metres Breaststroke,2016,8750,34,
Gymnastics,Gymnastics Men's Team All-Around,2016,8751,179,
Gymnastics,Gymnastics Men's Parallel Bars,2016,8751,179,
Gymnastics,Gymnastics Men's Horizontal Bar,2016,8751,179,
Gymnastics,Gymnastics Men's Rings,2016,8751,179,
Gymnastics,Gymnastics Men's Pommelled Horse,2016,8751,179,
Track and Field,Women's 400 metres Hurdles,2016,8764,71,
Track and Field,Women's Marathon,2016,8775,53,
Track and Field,Women's 4 x 400 metres Relay,2016,8785,146,
Swimming,Swimming Women's 100 metres Backstroke,2016,8803,52,
Swimming,Swimming Women's 200 metres Backstroke,2016,8803,52,
Swimming,Swimming Women's 200 metres Individual Medley,2016,8803,52,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016,8803,52,
Track and Field,Women's Marathon,2016,8877,123,
Swimming,Swimming Women's 50 metres Freestyle,2016,8878,123,
Swimming,Swimming Men's 100 metres Backstroke,2016,8945,97,
Track and Field,Women's 100 metres,2016,8979,147,
Track and Field,Women's 200 metres,2016,8979,147,
Swimming,Swimming Men's 100 metres Backstroke,2016,9099,11,
Swimming,Swimming Men's 200 metres Backstroke,2016,9099,11,
Swimming,Swimming Women's 800 metres Freestyle,2016,9176,71,
Track and Field,Women's 100 metres Hurdles,2016,9244,17,
Track and Field,Men's 800 metres,2016,9285,46,
Track and Field,Men's High Jump,2016,9310,146,
Gymnastics,Gymnastics Men's Individual All-Around,2016,9392,90,
Gymnastics,Gymnastics Men's Floor Exercise,2016,9392,90,
Gymnastics,Gymnastics Men's Parallel Bars,2016,9392,90,
